HideDate	ShowDate																																								
6/30/2026	7/14/2026																																								
																																									
																																									
2. 수탁고-세부분류							2. 수탁고-세부분류												최종모펀드유무	O				최종모펀드유무	O				최종모펀드유무	O											
종류형구분	(다중 항목)						종류형구분	(다중 항목)											제외조건					제외조건					제외조건												
모자구분	(다중 항목)						모자구분	(다중 항목)											운용부서	FI운용본부				운용부서	FI운용본부				운용부서	FI운용본부											
제외조건							제외조건												팀분류	FI운용1부				팀분류	FI운용2부				팀분류	해외FI운용부											
운용부서	(다중 항목)						운용부서	FI운용본부																																	
																			합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블											
합계 : 기획실수탁고분류	열 레이블						합계 : 순자산(후)	열 레이블											행 레이블	46022	46217			행 레이블	46022	46217			행 레이블	46022	46217										
행 레이블	45657	46022	46173	46203	46217		행 레이블	46217											IBK연금보험변액채권형	251.61911397	312.71742423	=IF(T12="","",(V12-U12))		현대커머셜한투단기채권형2	600	450	=IF(Y12="","",(AA12-Z12))		삼성생명한투NEW에이스변액적립글로벌하이일드채권형(채권)	73.93454162		=IF(AD12="","",(AF12-AE12))									
FI운용1부	85562.6140191	113994.94309588	148295.68493591	128189.7873507	137239.02443005		FI운용1부	13948790457238											MVP장기공M-2	0.00282112	0.00282112	=IF(T13="","",(V13-U13))		현대카드한투단기채권형2	1000	900	=IF(Y13="","",(AA13-Z13))		삼성생명한투NEW에이스변액적립이머징채권형(채권)	7.94817292		=IF(AD13="","",(AF13-AE13))									
펀드	28702.68569118	23879.22314462	24235.32313381	22917.79923724	22140.84771706		펀드	2233751304190											개인연금공7	86.93684891	90.69587846	=IF(T14="","",(V14-U14))		한화플러스UP변액연금 V파생혼합형(한국투자신탁채권)	951.61684161	951.61684161	=IF(Y14="","",(AA14-Z14))		투자풀ESG글로벌ETF일반사모증권투자신탁제1-2호UH(채권-재간접	3481.77859942	4223.69993145	=IF(AD14="","",(AF14-AE14))									
일임	7876.08788284	11433.36516164	10154.3012558	10422.28948636	10416.69802554		일임	1101130809432											개인연채혼모	135.27516902	124.22023506	=IF(T15="","",(V15-U15))		한화보장성변액채권형Ⅲ(한국투자신탁채권)	1704.67795678	1683.25815402	=IF(Y15="","",(AA15-Z15))		한국투자ACE미국달러SOFR금리특별자산상장지수투자신탁(금리-파	3511.11867163	3617.2177704	=IF(AD15="","",(AF15-AE15))									
MMF	32294.78182753	59993.93980076	86166.72441308	72245.60384231	82722.64632285		MMF	8418025107156											나라사랑M-1	9.35709651	9.54888426	=IF(T16="","",(V16-U16))		한화변액연금Ⅱ 채권형Ⅳ(한국투자신탁채권)		1219.11133877	=IF(Y16="","",(AA16-Z16))		한국투자MF일반사모증권투자신탁9호(채권-재간접형)	1551.52963137	1631.62605258	=IF(AD16="","",(AF16-AE16))									
ETF	16689.05861755	18688.41498886	27739.33613322	22604.09478479	21958.8323646		ETF	2195883236460											연기금일반사모증권투자신탁 제135-6호[국공채]	340.77619696		=IF(T17="","",(V17-U17))		한화변액CI혼합형(한국투자신탁채권)	2309.46171177	2218.76512434	=IF(Y17="","",(AA17-Z17))		한국투자글로벌플렉스증권모투자신탁(USD)(채권혼합-재간접형)	50.59942196	28.02281025	=IF(AD17="","",(AF17-AE17))									
FI운용2부	139132.25161587	163742.43703909	149248.96376955	149986.41739144	150924.02552854		FI운용2부	17422007034492											일반적 채모	4.33021279	3.6020025	=IF(T18="","",(V18-U18))		한화VUL적립가치주혼합형(한국투자신탁채권)	990.68833625	990.68833625	=IF(Y18="","",(AA18-Z18))		한국투자금리연계전문투자형사모증권투자신탁11호(채권-파생형)	561.66947224	629.99720977	=IF(AD18="","",(AF18-AE18))									
펀드	66955.97312716	91245.1774003	76158.33918559	76360.77885284	77806.1645454		펀드	7732348344992											한국투자ACE26-06회사채(AA-이상)액티브증권상장지수투자신탁(채	1717.6486722		=IF(T19="","",(V19-U19))		한국투자푸른씨앗일반사모증권투자신탁제1호[채권]	703.74888507	829.97197115	=IF(Y19="","",(AA19-Z19))		한국투자금리연계전문투자형사모증권투자신탁15호(채권-파생형)	1374.2733914	1473.04114608	=IF(AD19="","",(AF19-AE19))									
일임	72176.27848871	71236.81774975	71700.88707049	72138.22577108	71629.63712975		일임	9540836304161											한국투자ACE5월만기자동연장회사채(AA-이상)액티브증권상장지수	432.65474653	451.46587818	=IF(T20="","",(V20-U20))		한국투자크레딧형전문투자형사모증권투자신탁제1호(채권)	2304.25055603	2357.95293853	=IF(Y20="","",(AA20-Z20))		한국투자베이직일반사모증권투자신탁111호(채권-재간접형)	3862.91740893	4720.33905136	=IF(AD20="","",(AF20-AE20))									
