HideDate	ShowDate																																								
6/30/2026	7/14/2026																																								
																																									
																																									
2. 수탁고-세부분류							2. 수탁고-세부분류												최종모펀드유무	O				최종모펀드유무	O				최종모펀드유무	O											
종류형구분	(다중 항목)						종류형구분	(다중 항목)											제외조건					제외조건					제외조건												
모자구분	(다중 항목)						모자구분	(다중 항목)											운용부서	FI운용본부				운용부서	FI운용본부				운용부서	FI운용본부											
제외조건							제외조건												팀분류	FI운용1부				팀분류	FI운용2부				팀분류	해외FI운용부											
운용부서	(다중 항목)						운용부서	FI운용본부																																	
																			합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블											
합계 : 기획실수탁고분류	열 레이블						합계 : 순자산(후)	열 레이블											행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00			행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00			행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00										
행 레이블	2024-12-31 00:00:00+00:00	2025-12-31 00:00:00+00:00	2026-05-31 00:00:00+00:00	2026-06-30 00:00:00+00:00	2026-07-14 00:00:00+00:00		행 레이블	2026-07-14 00:00:00+00:00											IBK연금보험변액채권형	251.61911397	312.71742423	61.098310260000005		현대커머셜한투단기채권형2	600.0	450.0	-150.0		삼성생명한투NEW에이스변액적립글로벌하이일드채권형(채권)	73.93454162		-73.93454162									
FI운용1부	85562.6140191	113994.94309588001	148295.68493591	128189.78735069997	137239.02443005		FI운용1부	13948790457238.0											MVP장기공M-2	0.00282112	0.00282112	0.0		현대카드한투단기채권형2	1000.0	900.0	-100.0		삼성생명한투NEW에이스변액적립이머징채권형(채권)	7.94817292		-7.94817292									
펀드	28702.68569117999	23879.22314462	24235.323133809998	22917.799237239982	22140.84771705999		펀드	2233751304190.0											개인연금공7	86.93684891	90.69587846	3.759029550000008		한화플러스UP변액연금 V파생혼합형(한국투자신탁채권)	951.61684161	951.61684161	0.0		투자풀ESG글로벌ETF일반사모증권투자신탁제1-2호UH(채권-재간접	3481.77859942	4223.69993145	741.92133203									
일임	7876.087882840001	11433.365161639998	10154.301255800001	10422.28948636	10416.698025540001		일임	1101130809432.0											개인연채혼모	135.27516902	124.22023506	-11.05493396		한화보장성변액채권형Ⅲ(한국투자신탁채권)	1704.67795678	1683.25815402	-21.41980276000004		한국투자ACE미국달러SOFR금리특별자산상장지수투자신탁(금리-파	3511.11867163	3617.2177704	106.09909877000018									
MMF	32294.781827529994	59993.93980076001	86166.72441308	72245.60384231	82722.64632284999		MMF	8418025107156.0											나라사랑M-1	9.35709651	9.54888426	0.1917877499999996		한화변액연금Ⅱ 채권형Ⅳ(한국투자신탁채권)		1219.11133877	1219.11133877		한국투자MF일반사모증권투자신탁9호(채권-재간접형)	1551.52963137	1631.62605258	80.09642121000002									
ETF	16689.05861755	18688.414988859997	27739.33613322	22604.094784790002	21958.832364600003		ETF	2195883236460.0											연기금일반사모증권투자신탁 제135-6호[국공채]	340.77619696		-340.77619696		한화변액CI혼합형(한국투자신탁채권)	2309.46171177	2218.76512434	-90.69658742999991		한국투자글로벌플렉스증권모투자신탁(USD)(채권혼합-재간접형)	50.59942196	28.02281025	-22.57661171									
FI운용2부	139132.25161587	163742.43703908997	149248.96376954997	149986.41739144002	150924.02552854		FI운용2부	17422007034492.0											일반적 채모	4.33021279	3.6020025	-0.7282102899999998		한화VUL적립가치주혼합형(한국투자신탁채권)	990.68833625	990.68833625	0.0		한국투자금리연계전문투자형사모증권투자신탁11호(채권-파생형)	561.66947224	629.99720977	68.32773753000004									
펀드	66955.97312716	91245.17740029999	76158.33918558998	76360.77885284001	77806.1645454		펀드	7732348344992.0											한국투자ACE26-06회사채(AA-이상)액티브증권상장지수투자신탁(채	1717.6486722		-1717.6486722		한국투자푸른씨앗일반사모증권투자신탁제1호[채권]	703.74888507	829.97197115	126.22308607999992		한국투자금리연계전문투자형사모증권투자신탁15호(채권-파생형)	1374.2733914	1473.04114608	98.76775468000005									
일임	72176.27848871	71236.81774974999	71700.88707049	72138.22577108	71629.63712975		일임	9540836304161.0											한국투자ACE5월만기자동연장회사채(AA-이상)액티브증권상장지수	432.65474653	451.46587818	18.811131649999993		한국투자크레딧형전문투자형사모증권투자신탁제1호(채권)	2304.25055603	2357.95293853	53.70238250000011		한국투자베이직일반사모증권투자신탁111호(채권-재간접형)	3862.91740893	4720.33905136	857.4216424299998									
ETF		1260.44188904	1389.73751347	1487.41276752	1488.22385339		ETF	148822385339.0											한국투자ACE8월만기자동연장회사채(AA-이상)액티브증권상장지수	790.1050788	1029.65188522	239.54680641999994		한국투자크레딧포커스증권모투자신탁(채권)	28095.51744567	9622.66018784	-18472.85725783		한국투자베이직전문투자사모107호(채권)		200.0	200.0									
해외FI운용부	44620.87512142	72203.52903883	82195.70321677998	83521.86247209	81540.42460964		해외FI운용부	8190706668846.0											한국투자P증권모투자신탁(국공채)	2156.43575878	1778.14154422	-378.29421456		한국투자크레딧포커스일반사모증권투자신탁2호(채권)	1290.01883072	995.75660921	-294.26222151000013		한국투자베이직전문투자사모108호(채권)		200.0	200.0									
펀드	13415.124568469997	22458.89921371	26702.715695149993	26664.987980799997	27585.765447569996		펀드	2706195279773.0											한국투자P증권모투자신탁(채권)	2097.57961702	2547.20607114	449.62645411999983		한국투자크레딧포커스일반사모증권투자신탁1호(채권)	1200.0	1005.0	-195.0		한국투자베이직전문투자형사모증권투자신탁101호(채권)		300.0	300.0									
일임	2048.21516983	2036.7963876899998	1955.08767269	2169.4267373000002	2184.05228018		일임	233419282587.0											한국투자RF전문투자형사모증권투자신탁제1호(국공채)	1179.30829002		-1179.30829002		한국투자예금채권1호(사회책임형)	1000.0	1000.0	0.0		한국투자베이직전문투자형사모증권투자신탁105호(채권)		300.0	300.0									
MMF	4102.11171872	3867.28250516	6080.443575550001	5821.700153809999	4723.22196773		MMF	546353615070.0											한국투자SH베이직일반사모증권투자신탁1호(채권-재간접형)	17.25329012	17.83044504	0.5771549200000017		한국투자시스템알파증권투자신탁(채권-파생형)(모)	2380.06254418	2378.228354	-1.8341901799999505		푸본현대변액글로벌채권형	11.08627117	11.30882197	0.2225508000000005									
ETF	25055.423664400005	43840.55093227	47457.456273389995	48865.74760018	47047.38491416		ETF	4704738491416.0											한국투자마스터증권모투자신탁(국공채)	58.40484818	59.7335805	1.3287323200000003		한국투자베이직전문투자형사모증권투자신탁71호(채권)	3869.15740723	4476.65344054	607.4960333099998		한국투자ACE미국30년국채액티브증권상장지수투자신탁(H)	21997.36072677	15495.32537279	-6502.03535398									
총합계	269315.74075639003	349940.9091738	379740.35192223993	361698.0672142299	369703.47456823		총합계	39561504160576.0											한국투자베이직일반사모증권투자신탁121호(채권)	1000.0	1000.0	0.0		한국투자베이직전문투자형사모증권투자신탁69호(채권)	6065.66442142	6580.6033649	514.9389434800005		한국글로벌채권EMP일임	1926.44414032	1926.44414032	0.0									
																			한국투자스마트코리아증권모투자신탁(채권)	468.13806258	440.19866258	-27.939399999999978		한국투자베이직전문투자형사모증권투자신탁67호(채권)	4879.48378026	5120.88866321	241.40488295000068		한국투자ACE미국하이일드액티브증권상장지수투자신탁(채권-재간	380.90829889	625.96804558	245.05974668999994									
																			한국투자신종개인연금증권전환형1(채권)	206.4683219	221.02971025	14.561388349999987		한국투자베이직전문투자형사모증권투자신탁105호(채권)	300.0		-300.0		한국투자베이직일반사모증권투자신탁119호(채권-재간접형)	266.42328024	437.23198071	170.80870047000002									
구분	2024-12-31 00:00:00+00:00	2025-12-31 00:00:00+00:00	2026-05-31 00:00:00+00:00	2026-06-30 00:00:00+00:00	2026-07-14 00:00:00+00:00	NAV	2026목표	달성률	YTD	QTD	MTD								한국투자퇴직연금국공채알파일반사모증권투자신탁1호(채권	5.89058514	6.0965967	0.20601156000000032		한국투자베이직전문투자형사모증권투자신탁101호(채권)	300.0		-300.0		투자풀글로벌ETF일반사모증권투자신탁제1-3호(채권-재간접형)	96.84563553	144.1873957	47.34176017									
운용1팀	85562.6140191	113994.94309588001	148295.68493591	128189.78735069997	137239.02443005	139487.90457238	25000.0	0.9297632533667993	23244.081334169983	-11056.660505859996	9049.237079350016								현대캐피탈한투_단기채권형3호	1000.0	1000.0	0.0		한국투자베이직전문투자사모108호(채권)	200.0		-200.0		글로벌금리연계안정형	17.38326166	17.50237062	0.11910896000000193									
펀드	28702.68569117999	23879.22314462	24235.323133809998	22917.799237239982	22140.84771705999	22337.5130419	15000.0	1.3315775972286652	-1738.3754275600077	-2094.475416750007	-776.9515201799913								한국채권상대가치201902	3937.35127304	3858.00543624	-79.34583679999969		한국투자베이직전문투자사모107호(채권)	200.0		-200.0		연기금일반사모증권투자신탁2-B3호[채권-재간접형]	3086.13936974	3916.13462717	829.99525743									
일임	7876.087882840001	11433.365161639998	10154.301255800001	10422.28948636	10416.698025540001	11011.30809432			-1016.6671360999972	262.3967697400003	-5.591460819998247								한국투자채안회사채전문투자형사모증권투자신탁1호(채권)	9922.84379027	12088.02580148	2165.1820112099995		한국투자베이직일반사모증권투자신탁139호(채권)		1000.0	1000.0		한국투자ACE미국30년국채액티브증권상장지수투자신탁(채권)	3406.49877101	3107.1393234	-299.35944760999973									
MMF	32294.781827529994	59993.93980076001	86166.72441308	72245.60384231	82722.64632284999	84180.25107156			22728.706522089982	-3444.078090230003	10477.042480539996								한국투자DB베이직일반사모증권투자신탁1호(채권-재간접형)	165.05424993	179.48295369	14.42870375999999		한국투자베이직일반사모증권투자신탁137호(채권)		2002.63267774	2002.63267774		한국투자ACE미국30년국채엔화노출액티브증권상장지수투자신탁[	962.12684154	630.31277704	-331.8140645									
ETF	16689.05861755	18688.414988859997	27739.33613322	22604.094784790002	21958.832364600003	21958.8323646	10000.0	0.32704173757400057	3270.417375740006	-5780.503768619998	-645.2624201899998								한국투자ACE11월만기자동연장회사채(AA-이상)액티브증권상장지수	975.41336752	939.38172899	-36.031638529999896		한국투자베이직일반사모증권투자신탁133호(채권형)	600.0	600.0	0.0		한국투자법인용달러MMF(USD)(모)	3826.30710133	4488.75505414	662.4479528099996									
운용2팀	139132.25161587	163742.43703908997	149248.96376954997	149986.41739144002	150924.02552854	174220.07034492	23000.0	-0.5573222395891296	-12818.41151054998	1675.0617589900212	937.6081370999746								한국투자ACE2월만기자동연장회사채(AA-이상)액티브증권상장지수	489.55746162	503.56271965	14.005258029999993		한국투자베이직일반사모증권투자신탁132호(채권)	800.0	800.0	0.0		한국투자MAN다이나믹인컴증권모투자신탁(USD)(채권-재간접형)	4740.85033548	3089.8421291	-1651.0082063799996									
