순번,모펀드,모펀드명,설정해지구분,투자비율,종류형모펀드,종류형모펀드명,종류형자펀드,종류형자펀드명,최종모펀드,종류형모펀드_k,종류형자펀드_l,최종모부재,종류형모부재,종류형자부재,실질최종모펀드,최종모펀드명
1,02X66,한국투자중기채증권모투자신탁(채권),공통,100,04D11,한국투자퇴직연금증권자투자신탁1호(채권)(모),02X77,한국투자퇴직연금증권자투자신탁1호(채권)(C),02X66,04D11,02X77,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
2,02X66,한국투자중기채증권모투자신탁(채권),,,04D11,,04D36,한국투자퇴직연금증권자투자신탁1호(채권)(C-J),02X66,04D11,04D36,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
3,02X66,한국투자중기채증권모투자신탁(채권),,,04D11,,05K17,한국투자퇴직연금증권자투자신탁1호(채권)(C-e),02X66,04D11,05K17,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
4,02X66,한국투자중기채증권모투자신탁(채권),,,04D11,,07P22,한국투자퇴직연금증권자투자신탁1호(채권)(C-I),02X66,04D11,07P22,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
5,02X66,한국투자중기채증권모투자신탁(채권),설정,60,04D13,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(모),04D27,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(C-F),02X66,04D13,04D27,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
6,02X66,한국투자중기채증권모투자신탁(채권),,,04D13,,04Z89,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(C),02X66,04D13,04Z89,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
7,02X66,한국투자중기채증권모투자신탁(채권),,,04D13,,05K10,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(C-e),02X66,04D13,05K10,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
8,02X66,한국투자중기채증권모투자신탁(채권),,,04D13,,05N97,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(C-J),02X66,04D13,05N97,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
9,02X66,한국투자중기채증권모투자신탁(채권),,,04D13,,05Z19,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(S-R),02X66,04D13,05Z19,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
10,02X66,한국투자중기채증권모투자신탁(채권),해지,60,04D13,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(모),04D27,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(C-F),02X66,04D13,04D27,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
11,02X66,한국투자중기채증권모투자신탁(채권),,,04D13,,04Z89,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(C),02X66,04D13,04Z89,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
12,02X66,한국투자중기채증권모투자신탁(채권),,,04D13,,05K10,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(C-e),02X66,04D13,05K10,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
13,02X66,한국투자중기채증권모투자신탁(채권),,,04D13,,05N97,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(C-J),02X66,04D13,05N97,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
14,02X66,한국투자중기채증권모투자신탁(채권),,,04D13,,05Z19,한국투자퇴직연금한국의힘40증권자투자신탁1호(채권혼합)(S-R),02X66,04D13,05Z19,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
15,02X66,한국투자중기채증권모투자신탁(채권),공통,60,04D15,한국투자퇴직연금마이스터40증권자투자신탁1호(채권혼합)(모),04881,한국투자퇴직연금마이스터40증권자투자신탁1호(채권혼합)(C),02X66,04D15,04881,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
16,02X66,한국투자중기채증권모투자신탁(채권),,,04D15,,04D33,한국투자퇴직연금마이스터40증권자투자신탁1호(채권혼합)(C-F),02X66,04D15,04D33,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
17,02X66,한국투자중기채증권모투자신탁(채권),,,04D15,,05K16,한국투자퇴직연금마이스터40증권자투자신탁1호(채권혼합)(C-e),02X66,04D15,05K16,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
18,02X66,한국투자중기채증권모투자신탁(채권),,60.5,04N22,한국투자퇴직연금롱텀밸류40증권자투자신탁1호(채권혼합)(모),03V22,한국투자퇴직연금롱텀밸류40증권자투자신탁1호(채권혼합)(C-J),02X66,04N22,03V22,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
19,02X66,한국투자중기채증권모투자신탁(채권),,,04N22,,04Z93,한국투자퇴직연금롱텀밸류40증권자투자신탁1호(채권혼합)(C),02X66,04N22,04Z93,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
20,02X66,한국투자중기채증권모투자신탁(채권),,,04N22,,05K12,한국투자퇴직연금롱텀밸류40증권자투자신탁1호(채권혼합)(C-e),02X66,04N22,05K12,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
21,02X66,한국투자중기채증권모투자신탁(채권),,,05A98,한국투자퇴직연금중소밸류40증권자투자신탁1호(채권혼합)(모),04Z91,한국투자퇴직연금중소밸류40증권자투자신탁1호(채권혼합)(C),02X66,05A98,04Z91,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
22,02X66,한국투자중기채증권모투자신탁(채권),,,05A98,,05A99,한국투자퇴직연금중소밸류40증권자투자신탁1호(채권혼합)(C-J),02X66,05A98,05A99,X,X,X,02X66,한국투자중기채증권모투자신탁(채권)
