열1,수익자1,수익자2,수익자3,부가설명,수익자1수탁고,수익자2수탁고,수익자3수탁고,2024YE수탁고
4JM37,DB생명,,,,,,,
0JM28,DB생명,,,,,,,
1JM14,DB손해보험,,,,,,,
1JM16,,,,모펀드 - 클래스 1JM14에 매핑(이중계상 방지),,,,
2JM62,KB라이프,,,,,,,
2JM63,KB라이프,,,,,,,
2JM91,KB라이프,,,,,,,
2JM93,KB라이프,,,,,,,
2JM94,KB라이프,,,,,,,
0JM13,KB손해보험,,,,,,,
0JM30,KB손해보험,,,,,,,
0JM34,KB손해보험,,,,,,,
0JM61,,,,모펀드 - 클래스 0JM62/0JM63에 매핑(이중계상 방지),,,,
2JM03,,,,모펀드 - 클래스 2JM04/2JM05에 매핑(이중계상 방지),,,,
0JM62,KB손해보험,,,국민은행 오기 정정(MOS 옛수익자 LIG손보=KB손보),,,,
0JM63,KB손해보험,,,국민은행 오기 정정(MOS 옛수익자 LIG손보=KB손보),,,,
2JM04,KB손해보험,,,국민은행 오기 정정(MOS 옛수익자 KB손보),,,,
2JM05,KB손해보험,,,국민은행 오기 정정(MOS 옛수익자 KB손보),,,,
4JM40,KDB생명,,,,,,,
06Y33,NH성과보상기금,,,,,,,
06Z12,SC제일은행,,,리테일사모,,,,
06Y04,건강보험,,,2종 수익형,,,,
06Z21,건강보험,,,밸류자기자본 2종 수익형,,,,
06Z57,건강보험,,,밸류자기자본 2종 수익형,,,,
06Z74,건강보험,,,,,,,
06K35,건설근로자공제회,,,,,,,
06Y02,건설근로자공제회,,,,,,,
4JM30,공무원연금,,,,,,,
0JM77,교보생명,,,교보생명(일반),,,,
4JM18,교보생명,,,교보생명(변액),,,,
4JM19,교보생명,,,교보생명(변액),,,,
4JM28,교보생명,,,교보생명(변액),,,,
4JM34,교보생명,,,교보생명(변액),,,,
0JM52,국민연금,,,,,,,
10300,국민연금,,,,,,,
04D80,국토부(NH),,,,,,,
06W82,국토부(NH),,,,,,,
04D81,국토부(미래),,,,,,,
06X97,국토부(미래),,,,,,,
1JM67,기업은행,,,,,,,
06G45,노동부(고용보험),,,크레딧형,,,,
06Z69,노동부(고용보험),,,중기형,,,,
06G53,노동부(산재),,,,,,,
06G64,노동부(산재),,,,,,,
06H29,노동부(산재),,,,,,,
06W74,노동부(산재),,,,,,,
06G61,노동부(산재),,,,,,,
06G77,노동부(산재),,,,,,,
3JM27,동양생명,,,,,,,
0JM90,동양생명,,,,,,,
2JM90,라이나생명,,,,,,,
3JM54,라이나생명,,,MP,,,,
0JM36,라이나생명,,,,,,,
0JM37,라이나생명,,,,,,,
06Y07,메리츠증권,,,,,,,
06K21,방폐기금(신한),,,,,,,
07B03,삼성생명,,,,,,,
07B09,삼성생명,,,,,,,
1JM43,삼성생명,,,,,,,
2JM13,삼성생명,,,,,,,
2JM40,삼성생명,,,,,,,
2JM79,삼성생명,,,,,,,
2JM80,삼성생명,,,,,,,
2JM87,삼성생명,,,,,,,
2JM89,삼성생명,,,,,,,
3JM14,삼성생명,,,,,,,
3JM23,삼성생명,,,,,,,
3JM24,삼성생명,,,,,,,
3JM67,삼성생명,,,,,,,
0JM97,삼성화재,,,,,,,
0JM96,,,,모펀드 - 클래스 0JM97에 매핑(이중계상 방지),,,,
06Y78,선진운수DB적립금,,,앱솔루트투자자문,,,,
2JM60,신한라이프,,,,,,,
2JM81,신한라이프,,,,,,,
06Z15,신한은행,우리은행,,각 수익자별 비율,500.0,500.0,,
06K96,신협중앙회,,,,,,,
06W02,신협중앙회,,,,,,,
06W10,신협중앙회,,,,,,,
06W18,신협중앙회,,,,,,,
06Y25,연기금풀(미래),,,,,,,
06Y26,연기금풀(미래),,,,,,,
06Y81,연기금풀(미래),,,,,,,
06Z11,연기금풀(미래),,,,,,,
06X20,연기금풀(미래),,,,,,,
06X21,연기금풀(미래),,,,,,,
06X96,연기금풀(미래),,,,,,,
06Z70,연기금풀(미래),,,,,,,
06X56,연기금풀(삼성),,,,,,,
06X78,연기금풀(삼성),,,,,,,
06Y01,연기금풀(삼성),,,,,,,
06Y50,연기금풀(삼성),,,,,,,
06Z51,연기금풀(삼성),,,,,,,
1JM86,우정사업본부,,,예금,,,,
06Y37,중퇴기금(미래),,,,,,,
06Y48,중퇴기금(삼성),,,,,,,
06K82,채권시장안정펀드,,,,,,,
06Z56,카카오뱅크,경남은행,,500/500,500.0,500.0,,
06Y49,카카오뱅크,우리은행,,500/500,500.0,500.0,,
06Z78,카카오뱅크,NH농협은행,,500/500,500.0,500.0,,
06Y18,키움증권,하나은행,,500/500,500.0,500.0,,
06Y17,키움증권,하나증권,,1000/1000,1000.0,1000.0,,
2JM19,푸본현대생명,,,,,,,
3JM35,푸본현대생명,,,,,,,
06Z62,한국투자증권,한투밸류자산운용,,,1000.0,1000.0,,
06X22,한양대학교,,,,,,,
06X19,한화생명,,,,,,,
06Y05,한화생명,,,,,,,
06Y06,한화생명,,,,,,,
07J09,한화생명,,,,,,,
07J10,한화생명,,,,,,,
07P22,한화생명,,,,,,,
3JM61,한화생명,,,,,,,
4JM10,한화생명,,,,,,,
4JM15,한화생명,,,,,,,
4JM17,한화생명,,,,,,,
4JM26,한화생명,,,,,,,
4JM31,한화생명,,,,,,,
4JM38,한화생명,,,,,,,
4JM42,한화생명,,,,,,,
4JM32,현대카드,,,,,,,
4JM35,현대캐피탈,,,,,,,
06Y79,현대커머셜,,,,,,,
06Y80,현대커머셜,,,,,,,
4JM33,현대커머셜,,,,,,,
08K47,국토부(NH),,,,,,,
08K53,국토부(미래),,,,,,,
4JM45,우정사업본부,,,,,,,
4JM42,한화생명,,,,,,,
08K54,연기금풀(삼성),,,,,,,
08K55,연기금풀(삼성),,,,,,,
4JM51,ABL생명,,,,,,,
08K36,건설근로자공제회,,,,,,,
07V41,중소기업중앙회,,,,,,,
08K87,한국투자증권,,,,,,,
08K90,연기금풀(삼성),,,,,,,
08K92,한국투자증권,한투밸류자산운용,,,1000.0,100.0,,
08K39,신한은행,광주은행,,,300.0,300.0,,
07Z93,키움증권,광주은행,,,500.0,500.0,,
4JM65,한화생명,,,,,,,
08L30,부산은행,NH농협은행,,,200.0,200.0,,
06Z52,NH농협은행,하나은행,부산은행,,200.0,200.0,100.0,
08L50,,,,모펀드 - 클래스 08L51/08L52에 매핑(이중계상 방지),,,,
